Gene_Symbol	logFC	pv		Gene_Symbol	logFC
ELL2	1.91472499	0.001		Ell2	1.91472499
RGS2	1.826622888	0.001		Rgs2	1.826622888
DEPDC5	1.572064058	0.001		Depdc5	1.572064058
FBXO33	1.41700106	0.001		Fbxo33	1.41700106
SMS	1.32695809	0.001		Sms	1.32695809
ADAM12	1.283728895	0.001		Adam12	1.283728895
RRAS2	0.76655473	0.001		Rras2	0.76655473
RNF217	0.69178345	0.001		Rnf217	0.69178345
ABCE1	0.456335914	0.001		Abce1	0.456335914
IRF3	0.436368816	0.001		Irf3	0.436368816
NES	0.432506613	0.001		Nes	0.432506613
KHDRBS3	-0.303814269	0.001		Khdrbs3	-0.303814269
UBASH3B	-0.542091122	0.001		Ubash3B	-0.542091122
SERPINE1	-0.578725942	0.001		Serpine1	-0.578725942
NOL12	-0.597547907	0.001		Nol12	-0.597547907
PIM1	-0.659700798	0.001		Pim1	-0.659700798
GM17268	-0.705406527	0.001		Gm17268	-0.705406527
SNAI1	-0.729913062	0.001		Snai1	-0.729913062
FOSL2	-0.792923351	0.001		Fosl2	-0.792923351
ATP1B3	-0.83121797	0.001		Atp1B3	-0.83121797
SERTAD1	-0.86383526	0.001		Sertad1	-0.86383526
NFKBIA	-0.92414199	0.001		Nfkbia	-0.92414199
KCNIP1	-0.94724686	0.001		Kcnip1	-0.94724686
HSPH1	-0.968775102	0.001		Hsph1	-0.968775102
IER5	-1.023204963	0.001		Ier5	-1.023204963
DOT1L	-1.033427783	0.001		Dot1L	-1.033427783
EGR2	-1.131535459	0.001		Egr2	-1.131535459
TIPARP	-1.140301147	0.001		Tiparp	-1.140301147
OPA3	-1.305375022	0.001		Opa3	-1.305375022
KDM6B	-1.366690499	0.001		Kdm6B	-1.366690499
IER3	-1.374606384	0.001		Ier3	-1.374606384
ADAMTS9	-1.379522381	0.001		Adamts9	-1.379522381
SMAD3	-1.428710972	0.001		Smad3	-1.428710972
LYPLA2	-1.453681217	0.001		Lypla2	-1.453681217
GCLC	-1.505846848	0.001		Gclc	-1.505846848
GM26532	-1.518878648	0.001		Gm26532	-1.518878648
PHLDA1	-1.548931203	0.001		Phlda1	-1.548931203
UGDH	-1.568633675	0.001		Ugdh	-1.568633675
SBNO2	-1.574195053	0.001		Sbno2	-1.574195053
BTG2	-1.606756967	0.001		Btg2	-1.606756967
ADAMTS4	-1.610453164	0.001		Adamts4	-1.610453164
TNFAIP2	-1.634777244	0.001		Tnfaip2	-1.634777244
ZFP36	-1.717597722	0.001		Zfp36	-1.717597722
CEBPB	-1.722567008	0.001		Cebpb	-1.722567008
TNFAIP6	-1.785481711	0.001		Tnfaip6	-1.785481711
PLA1A	-1.873666265	0.001		Pla1A	-1.873666265
CXCL2	-1.876931149	0.001		Cxcl2	-1.876931149
MPP7	-1.908554431	0.001		Mpp7	-1.908554431
ATF3	-1.938406893	0.001		Atf3	-1.938406893
PLEKHO2	-1.99010385	0.001		Plekho2	-1.99010385
BHLHE40	-1.99265569	0.001		Bhlhe40	-1.99265569
NFKB1	-2.020818588	0.001		Nfkb1	-2.020818588
ARC	-2.03164782	0.001		Arc	-2.03164782
MAFF	-2.063942494	0.001		Maff	-2.063942494
GM41609	-2.0784005	0.001		Gm41609	-2.0784005
FOSB	-2.109142794	0.001		Fosb	-2.109142794
BIRC3	-2.109478509	0.001		Birc3	-2.109478509
HSPA1A	-2.12153649	0.001		Hspa1A	-2.12153649
EGR3	-2.236538685	0.001		Egr3	-2.236538685
IL6	-2.256950501	0.001		Il6	-2.256950501
NR4A3	-2.281314485	0.001		Nr4A3	-2.281314485
TGM2	-2.333091747	0.001		Tgm2	-2.333091747
GEM	-2.404515823	0.001		Gem	-2.404515823
SGK1	-2.42363528	0.001		Sgk1	-2.42363528
CXCL1	-2.453483016	0.001		Cxcl1	-2.453483016
F2RL1	-2.513892397	0.001		F2Rl1	-2.513892397
PDE4B	-2.702357346	0.001		Pde4B	-2.702357346
NR4A2	-2.795671683	0.001		Nr4A2	-2.795671683
PTGS2	-2.82096169	0.001		Ptgs2	-2.82096169
TRIB1	-2.822294326	0.001		Trib1	-2.822294326
NR4A1	-2.890681876	0.001		Nr4A1	-2.890681876
KLF4	-3.390434724	0.001		Klf4	-3.390434724
SLC10A6	-4.174829742	0.001		Slc10A6	-4.174829742
HAS1	-4.378557028	0.001		Has1	-4.378557028
FETUB	-4.468097948	0.001		Fetub	-4.468097948
LMO2	-4.472305171	0.001		Lmo2	-4.472305171
