Gene_Symbol	logFC	pv		Gene_Symbol	logFC		Gene_Symbol	logFC
4930523C07RIK	1.357780684	0.001		C1QTNF3	7.373987168		C1qtnf3	7.373987168
4931406P16RIK	2.592156946	0.001		ACAN	6.811105286		Acan	6.811105286
A930037H05RIK	1.561333576	0.001		KCNMA1	5.392811479		Kcnma1	5.392811479
ACAN	6.811105286	0.001		ETL4	4.948620142		Etl4	4.948620142
ADAMTS17	4.713160386	0.001		RAMP1	4.848290143		Ramp1	4.848290143
ANTXR1	1.712211346	0.001		ADAMTS17	4.713160386		Adamts17	4.713160386
AQP2	4.619055877	0.001		AQP2	4.619055877		Aqp2	4.619055877
C1QTNF3	7.373987168	0.001		KCNJ15	4.412904591		Kcnj15	4.412904591
CD59A	2.512891597	0.001		SCX	4.187139711		Scx	4.187139711
CDH11	2.691266261	0.001		PAMR1	4.160812736		Pamr1	4.160812736
COL11A1	4.078529441	0.001		H19	4.151577988		H19	4.151577988
COL16A1	1.87453191	0.001		KCNQ3	4.083518691		Kcnq3	4.083518691
DLEU2	-1.93240761	0.001		COL11A1	4.078529441		Col11a1	4.078529441
EDNRA	1.502073513	0.001		IFITM10	3.762159618		Ifitm10	3.762159618
EIF1	-0.300882016	0.001		WFDC18	3.569601685		Wfdc18	3.569601685
ERBIN	0.779524426	0.001		ITM2A	3.480045946		Itm2a	3.480045946
ETL4	4.948620142	0.001		PLXNA4	3.435882834		Plxna4	3.435882834
FBN2	0.937379199	0.001		ST3GAL5	3.282284877		St3gal5	3.282284877
FLRT2	-1.335858898	0.001		NUAK1	3.022326467		Nuak1	3.022326467
FMN1	0.383768241	0.001		THBS2	3.011901325		Thbs2	3.011901325
FNDC1	2.395841789	0.001		PIK3R3	2.949726602		Pik3r3	2.949726602
GM4117	2.178380349	0.001		UNC119	2.82710971		Unc119	2.82710971
GM5617	0.680284495	0.001		CDH11	2.691266261		Cdh11	2.691266261
GRB10	1.206394652	0.001		4931406P16RIK	2.592156946		4931406p16rik	2.592156946
H19	4.151577988	0.001		CD59A	2.512891597		Cd59a	2.512891597
HMGCR	1.08361764	0.001		RIN2	2.477394414		Rin2	2.477394414
HS6ST2	-1.135785679	0.001		MDK	2.425913823		Mdk	2.425913823
IFITM10	3.762159618	0.001		FNDC1	2.395841789		Fndc1	2.395841789
ITGA11	1.206736473	0.001		PRICKLE1	2.220184826		Prickle1	2.220184826
ITM2A	3.480045946	0.001		NEO1	2.185325325		Neo1	2.185325325
JAG1	-0.834652687	0.001		GM4117	2.178380349		Gm4117	2.178380349
JPH2	1.262920673	0.001		TCEA3	2.115377382		Tcea3	2.115377382
KCNJ15	4.412904591	0.001		LURAP1L	2.053844928		Lurap1l	2.053844928
KCNMA1	5.392811479	0.001		MYO1E	2.050036167		Myo1e	2.050036167
KCNQ3	4.083518691	0.001		PICALM	2.028735413		Picalm	2.028735413
KDM5B	1.354333839	0.001		MPPED2	1.979112197		Mpped2	1.979112197
LTBP1	1.341419759	0.001		NHS	1.950245682		Nhs	1.950245682
LURAP1L	2.053844928	0.001		STRBP	1.905237822		Strbp	1.905237822
MDK	2.425913823	0.001		COL16A1	1.87453191		Col16a1	1.87453191
MFAP2	1.813427418	0.001		TRABD2B	1.828709558		Trabd2b	1.828709558
MPPED2	1.979112197	0.001		MFAP2	1.813427418		Mfap2	1.813427418
MYO1E	2.050036167	0.001		SULF2	1.786747917		Sulf2	1.786747917
