Gene_Symbol	logFC	pv
ABHD12	0.536719287	0.001
ACP5	0.457848155	0.001
ACSS1	0.961009105	0.001
ADAM8	-2.204857226	0.001
AIRN	-1.35258552	0.001
AMDHD2	-0.688064771	0.001
ANKRD33B	-0.987842867	0.001
AOPEP	0.627132213	0.001
AP2M1	-0.654424433	0.001
ATP6V0D2	1.777924615	0.001
ATP6V1A	0.281919096	0.001
ATP6V1B2	-0.519813537	0.001
ATP6V1C1	-1.163756385	0.001
B4GALT6	0.344772498	0.001
BCL2L1	-1.042951689	0.001
BHLHE41	1.761910055	0.001
BLNK	1.774584175	0.001
CADM1	2.893673561	0.001
CAMK1	1.075158549	0.001
CCL8	2.923436294	0.001
CD36	-2.346471626	0.001
CD72	2.839139674	0.001
CD84	0.203889489	0.001
CD9	1.121543581	0.001
CELA1	1.572494864	0.001
CFB	1.129051609	0.001
CKB	1.417165307	0.001
CXCL14	-0.772905159	0.001
CYB5A	0.519517121	0.001
DENND4C	-0.779548741	0.001
DNMT3A	1.229565872	0.001
F7	-5.469654017	0.001
FABP4	-1.818613994	0.001
FABP5	-1.596967244	0.001
FAM20C	-1.112731098	0.001
FAM219A	1.132636906	0.001
FBXW4	2.117182841	0.001
FCGR4	0.701533884	0.001
FOLR2	1.436591526	0.001
FTL1-PS1	-0.340597876	0.001
GAS6	1.70152048	0.001
GDF15	0.791003157	0.001
GLMP	0.363292933	0.001
GPNMB	1.453731332	0.001
GPR137B	1.090336874	0.001
GUSB	-0.441880785	0.001
HEBP1	1.868206671	0.001
HIST1H1C	2.690165983	0.001
HIST1H2BC	2.988075771	0.001
HMGN5	0.324606983	0.001
IFI27	0.544745021	0.001
IGF1	2.627291848	0.001
IL3RA	0.547376175	0.001
IL7R	-2.502586404	0.001
ITGB1	0.451888756	0.001
LGALS3BP	1.419954855	0.001
LHFPL2	0.12908846	0.001
LIPA	0.678997515	0.001
LMNA	-1.67351755	0.001
LPL	-1.709804015	0.001
MALAT1	0.251160455	0.001
MAN1C1	1.558884925	0.001
MAP4K3	0.504638814	0.001
MFGE8	3.224970424	0.001
MMP12	-3.674911112	0.001
MPP1	-0.237261019	0.001
MTSS1	0.726151109	0.001
MYO1E	0.648597388	0.001
NAA38	0.377176375	0.001
NDUFS6	-0.730514039	0.001
NENF	1.164111829	0.001
NPY	3.979475248	0.001
OPA1	-0.079770019	0.001
OSBPL11	1.112033364	0.001
PCNA	-1.100365492	0.001
PDGFC	3.88404805	0.001
PDPN	-3.068855849	0.001
PEA15A	1.710265824	0.001
PKIB	0.367549815	0.001
PLD3	1.249329554	0.001
PLGRKT	-0.5543098	0.001
PLK2	-1.517341286	0.001
PMP22	1.87984977	0.001
PRDX4	1.304370669	0.001
PSD3	-0.467150347	0.001
PTMS	1.372480215	0.001
RABGGTB	0.355515644	0.001
RGS1	-1.746861649	0.001
RHOC	0.872139167	0.001
S100A1	1.615347607	0.001
SAMD8	-0.498477151	0.001
SELENOH	0.89313446	0.001
SELENOM	1.694416973	0.001
SERPINB6A	2.726466254	0.001
SLAMF7	0.685164093	0.001
SLAMF9	2.489409831	0.001
SLC25A4	0.601650861	0.001
SLC48A1	-0.225097848	0.001
SLC9A3R1	-0.550171022	0.001
SOAT1	-0.554184013	0.001
SPTSSA	0.679355809	0.001
STAB1	0.708564626	0.001
STMN1	2.408399747	0.001
SYNGR1	1.680153576	0.001
TLE5	1.081390552	0.001
TLK1	0.822247787	0.001
TMEM140	2.351241027	0.001
TNFSF13	0.156849878	0.001
TPM1	-0.426710314	0.001
TSPAN4	1.735564103	0.001
TTYH2	2.840020378	0.001
UAP1L1	-1.060499958	0.001
UHRF2	-0.317084364	0.001
WWP1	2.479348045	0.001
