Gene_Symbol	logFC	pv
ABCE1	0.456335914	0.001
ADAM12	1.283728895	0.001
ADAMTS4	-1.610453164	0.001
ADAMTS9	-1.379522381	0.001
ARC	-2.03164782	0.001
ATF3	-1.938406893	0.001
ATP1B3	-0.83121797	0.001
BHLHE40	-1.99265569	0.001
BIRC3	-2.109478509	0.001
BTG2	-1.606756967	0.001
CEBPB	-1.722567008	0.001
CXCL1	-2.453483016	0.001
CXCL2	-1.876931149	0.001
DEPDC5	1.572064058	0.001
DOT1L	-1.033427783	0.001
EGR2	-1.131535459	0.001
EGR3	-2.236538685	0.001
ELL2	1.91472499	0.001
F2RL1	-2.513892397	0.001
FBXO33	1.41700106	0.001
FETUB	-4.468097948	0.001
FOSB	-2.109142794	0.001
FOSL2	-0.792923351	0.001
GCLC	-1.505846848	0.001
GEM	-2.404515823	0.001
GM17268	-0.705406527	0.001
GM26532	-1.518878648	0.001
GM41609	-2.0784005	0.001
HAS1	-4.378557028	0.001
HSPA1A	-2.12153649	0.001
HSPH1	-0.968775102	0.001
IER3	-1.374606384	0.001
IER5	-1.023204963	0.001
IL6	-2.256950501	0.001
IRF3	0.436368816	0.001
KCNIP1	-0.94724686	0.001
KDM6B	-1.366690499	0.001
KHDRBS3	-0.303814269	0.001
KLF4	-3.390434724	0.001
LMO2	-4.472305171	0.001
LYPLA2	-1.453681217	0.001
MAFF	-2.063942494	0.001
MPP7	-1.908554431	0.001
NES	0.432506613	0.001
NFKB1	-2.020818588	0.001
NFKBIA	-0.92414199	0.001
NOL12	-0.597547907	0.001
NR4A1	-2.890681876	0.001
NR4A2	-2.795671683	0.001
NR4A3	-2.281314485	0.001
OPA3	-1.305375022	0.001
PDE4B	-2.702357346	0.001
PHLDA1	-1.548931203	0.001
PIM1	-0.659700798	0.001
PLA1A	-1.873666265	0.001
PLEKHO2	-1.99010385	0.001
PTGS2	-2.82096169	0.001
RGS2	1.826622888	0.001
RNF217	0.69178345	0.001
RRAS2	0.76655473	0.001
SBNO2	-1.574195053	0.001
SERPINE1	-0.578725942	0.001
SERTAD1	-0.86383526	0.001
SGK1	-2.42363528	0.001
SLC10A6	-4.174829742	0.001
SMAD3	-1.428710972	0.001
SMS	1.32695809	0.001
SNAI1	-0.729913062	0.001
TGM2	-2.333091747	0.001
TIPARP	-1.140301147	0.001
TNFAIP2	-1.634777244	0.001
TNFAIP6	-1.785481711	0.001
TRIB1	-2.822294326	0.001
UBASH3B	-0.542091122	0.001
UGDH	-1.568633675	0.001
ZFP36	-1.717597722	0.001
