Gene_Symbol	logFC	pv
4930523C07RIK	1.357780684	0.001
4931406P16RIK	2.592156946	0.001
A930037H05RIK	1.561333576	0.001
ACAN	6.811105286	0.001
ADAMTS17	4.713160386	0.001
ANTXR1	1.712211346	0.001
AQP2	4.619055877	0.001
C1QTNF3	7.373987168	0.001
CD59A	2.512891597	0.001
CDH11	2.691266261	0.001
COL11A1	4.078529441	0.001
COL16A1	1.87453191	0.001
DLEU2	-1.93240761	0.001
EDNRA	1.502073513	0.001
EIF1	-0.300882016	0.001
ERBIN	0.779524426	0.001
ETL4	4.948620142	0.001
FBN2	0.937379199	0.001
FLRT2	-1.335858898	0.001
FMN1	0.383768241	0.001
FNDC1	2.395841789	0.001
GM4117	2.178380349	0.001
GM5617	0.680284495	0.001
GRB10	1.206394652	0.001
H19	4.151577988	0.001
HMGCR	1.08361764	0.001
HS6ST2	-1.135785679	0.001
IFITM10	3.762159618	0.001
ITGA11	1.206736473	0.001
ITM2A	3.480045946	0.001
JAG1	-0.834652687	0.001
JPH2	1.262920673	0.001
KCNJ15	4.412904591	0.001
KCNMA1	5.392811479	0.001
KCNQ3	4.083518691	0.001
KDM5B	1.354333839	0.001
LTBP1	1.341419759	0.001
LURAP1L	2.053844928	0.001
MDK	2.425913823	0.001
MFAP2	1.813427418	0.001
MPPED2	1.979112197	0.001
MYO1E	2.050036167	0.001
NCAM1	1.557936289	0.001
NEO1	2.185325325	0.001
NHS	1.950245682	0.001
NLK	1.062623945	0.001
NRP2	-2.682968555	0.001
NUAK1	3.022326467	0.001
NXN	-0.618829011	0.001
OLFML2B	1.781298131	0.001
OSBPL8	0.665004662	0.001
PAMR1	4.160812736	0.001
PHLDB2	0.985821551	0.001
PICALM	2.028735413	0.001
PIEZO2	1.51530523	0.001
PIK3R3	2.949726602	0.001
PLAAT3	1.294716169	0.001
PLXNA4	3.435882834	0.001
PRICKLE1	2.220184826	0.001
RAI14	1.198667777	0.001
RAMP1	4.848290143	0.001
RGL1	1.751485084	0.001
RIN2	2.477394414	0.001
SCX	4.187139711	0.001
SERF1	1.153171804	0.001
SLC31A1	-0.449448245	0.001
SLC7A2	1.62287529	0.001
SLIT2	-0.851677796	0.001
SSC5D	1.573555113	0.001
ST3GAL5	3.282284877	0.001
STRBP	1.905237822	0.001
SULF2	1.786747917	0.001
SUSD6	0.896633981	0.001
TCEA3	2.115377382	0.001
THBS2	3.011901325	0.001
TLN2	-1.136335268	0.001
TMEM263	-0.525926498	0.001
TRABD2B	1.828709558	0.001
TSC22D1	1.493683796	0.001
UNC119	2.82710971	0.001
WFDC18	3.569601685	0.001
