Gene_Symbol	logFC	pv
ARG1	5.822356985	0.001
AU022252	1.306744337	0.001
B4GALT1	1.031895278	0.001
CCL12	4.044088582	0.001
CCL2	4.494224285	0.001
CCL24	4.900095027	0.001
CCL7	4.391340951	0.001
CCL9	3.31760465	0.001
CD38	1.86484809	0.001
CD86	4.290623831	0.001
CHD9	2.768626191	0.001
CLEC4A3	7.747251488	0.001
COX4I2	-3.168589631	0.001
CREM	-1.055855158	0.001
CYFIP1	0.972863469	0.001
DAB2	2.890737363	0.001
DAPK1	1.941007645	0.001
EAR2	7.332793657	0.001
ECM1	3.01031217	0.001
EIF2S2	1.172398868	0.001
EMP1	2.688953469	0.001
ERRFI1	1.406321576	0.001
EXOSC3	2.430301178	0.001
F10	1.474300231	0.001
F13A1	3.671263696	0.001
FAM172A	2.276026662	0.001
FCGR1	4.233967111	0.001
FCGR2B	-1.145836814	0.001
FN1	6.172255853	0.001
GLUL	1.472591549	0.001
GM47283	3.603650259	0.001
GPR171	7.040505538	0.001
HES1	3.629107323	0.001
HMOX1	1.982382327	0.001
IMP4	1.324398075	0.001
INHBA	-3.257569846	0.001
KLF4	4.516482569	0.001
LMNA	3.355202672	0.001
LPL	4.001233057	0.001
MAFB	5.490227575	0.001
MAN1A	2.466243628	0.001
MMP19	-1.522591971	0.001
MRC1	3.155999559	0.001
MS4A4C	10.86993342	0.001
MS4A6B	5.719631499	0.001
MS4A6D	5.180855495	0.001
MT1	2.22773327	0.001
MT2	-2.766920185	0.001
MYO1E	3.163049109	0.001
NR4A2	2.906733959	0.001
NRG1	4.232492823	0.001
ORMDL2	-1.384890137	0.001
PAPSS2	4.470027262	0.001
PDE4D	0.912472138	0.001
PDIA6	1.240883976	0.001
PDPN	-2.126048052	0.001
PF4	5.213024653	0.001
PGM1	-2.197464155	0.001
PLCB1	6.642759802	0.001
PPBP	3.618287219	0.001
PRDX2	4.284815205	0.001
PXK	-0.67655309	0.001
RAP1GAP2	1.032728805	0.001
SLC16A10	1.618917738	0.001
SMPDL3B	2.650600665	0.001
SNX5	3.403367676	0.001
SPP1	-2.6137344	0.001
TBXAS1	1.906618989	0.001
TFRC	-1.867977548	0.001
TUBB6	1.5209814	0.001
UCK2	-1.708524167	0.001
VCAN	5.38430095	0.001
VPS8	-0.974266619	0.001
YIPF5	0.983463528	0.001
