Gene_Symbol	logFC	pv	geneid
Lyz2	-1.570630982	5.99E-116	Lyz2
TYROBP	-0.475445209	4.72E-32	Tyrobp
CST3	-0.666646861	3.28E-28	Cst3
FCER1G	-0.370099267	2.84E-21	Fcer1g
SLPI	-0.245744513	4.79E-13	Slpi
CCR1	-0.647971246	9.72E-12	Ccr1
MANF	-0.333447188	3.68E-10	Manf
GRINA	1.278653713	7.66E-08	Grina
INHBA	2.284865405	5.47E-07	Inhba
PRDX6	0.726398236	1.78E-06	Prdx6
LRRC4	-0.939668333	1.07E-05	Lrrc4
CTSS	-0.163328778	4.40E-05	Ctss
SEC23B	-0.751782717	8.67E-05	Sec23b
SSR3	-0.291932824	0.000122727	Ssr3
MAML2	1.293443612	0.000377604	Maml2
TES	-0.383820847	0.000573452	Tes
GPAT3	-0.419871241	0.000879516	Gpat3
RGCC	0.449836142	0.000982326	Rgcc
SGMS2	1.043783664	0.001468143	Sgms2
DNAJB9	-0.207752253	0.001587406	Dnajb9
UPP1	1.03541979	0.002271318	Upp1
SEC61A1	-0.339707566	0.00294424	Sec61a1
HERPUD1	-0.499706311	0.00470206	Herpud1
SLC16A3	0.220388473	0.004823658	Slc16a3
TMEM248	-0.507974245	0.007413534	Tmem248
RESF1	0.783167915	0.009644827	Resf1
SLC2A1	0.6013747	0.009864819	Slc2a1
F5	-0.414602981	0.016203703	F5
USO1	-0.286983562	0.01629796	Uso1
HK1	0.736762341	0.023831377	Hk1
EMILIN2	-0.122850076	0.030223971	Emilin2
Gm15283	0.896265074	0.034079814	Gm15283
FAM102B	1.146530072	0.034404393	Fam102b
A530064D06Rik	-0.462701778	0.036802539	A530064D06Rik
FBXO28	0.453226769	0.04960907	Fbxo28
NUCB2	-0.279794022	0.055948941	Nucb2
MAP2K1	0.490305147	0.063494279	Map2k1
RSBN1	0.906472492	0.086098742	Rsbn1
GPR141	0.788424828	0.1165129	Gpr141
ATF4	0.000266547	0.125157607	Atf4
SNX18	-0.092430923	0.140860978	Snx18
SMOX	0.007981461	0.173469874	Smox
PFKP	0.368026193	0.204438205	Pfkp
BST1	-0.120675537	0.239487322	Bst1
LPAR1	-0.423136171	0.246285293	Lpar1
TREM1	0.346495335	0.266877646	Trem1
PCGF5	0.27880194	0.268294067	Pcgf5
SC5D	-0.002674738	0.296516179	Sc5d
RNF11	0.481622099	0.322078726	Rnf11
SLC35B1	-0.150263399	0.344487031	Slc35b1
GADD45A	0.465922789	0.442531941	Gadd45a
SLBP	-0.045825404	0.465085183	Slbp
F10	0.149064246	0.476469318	F10
NEDD9	0.084171801	0.494413563	Nedd9
FNDC3A	0.286185489	0.50741992	Fndc3a
TUBA1A	0.362237356	0.568644596	Tuba1a
SERPINB2	1.557095688	0.593147323	Serpinb2
SLC23A2	0.058730886	0.594400838	Slc23a2
ESYT2	0.086296078	0.599629397	Esyt2
TLR4	-0.076947655	0.701157562	Tlr4
IL13RA1	0.15029357	0.707962635	Il13ra1
RFX3	-0.121788169	0.76521983	Rfx3
ATP9B	0.140960529	0.852159402	Atp9b
SLFN12	0.556196959	0.879613249	Slfn4
PIWIL2	0.097683824	0.910698017	Piwil2
SPIDR	0.101082854	0.922995301	Spidr
ZNF292	0.06779238	0.929659596	Zfp292
2610037D02Rik	0.296347078	0.934039537	2610037D02Rik
P4HB	0.329938342	0.953691489	P4hb
