Gene_Symbol	logFC	pv	pct.1	pct.2	p_val_adj
CD74	0.582038	1.68E-15	0.377	0.198	5.44E-11
PRDX1	0.845855	4.57E-11	0.846	0.881	1.48E-06
SPP1	3.455117	2.94E-21	0.268	0.079	9.50E-17
CCL4	-1.57999	1.66E-10	0.092	0.198	5.37E-06
CCL3	-1.51346	1.37E-10	0.039	0.115	4.43E-06
FTH1	1.198419	7.21E-56	0.993	1	2.33E-51
S100A8	-1.54036	2.31E-42	0.126	0.407	7.44E-38
ACTB	1.920104	9.02E-106	0.999	0.994	2.91E-101
FABP5	1.728839	1.26E-09	0.27	0.159	4.08E-05
APOE	-1.06108	6.82E-31	0.754	0.877	2.20E-26
FOS	-1.72576	5.97E-106	0.592	0.94	1.93E-101
IFITM1	-1.52631	2.57E-15	0.104	0.242	8.31E-11
IL1B	-1.09676	1.60E-23	0.584	0.78	5.17E-19
KLF2	-2.88828	6.27E-119	0.197	0.681	2.02E-114
C1QB	2.355871	8.76E-10	0.126	0.032	2.83E-05
S100A9	-1.41488	8.14E-15	0.049	0.153	2.63E-10
LRG1	-1.58785	3.19E-35	0.199	0.47	1.03E-30
PF4	3.838699	4.89E-07	0.071	0.012	0.015777
JUN	-1.42281	9.43E-35	0.237	0.526	3.05E-30
DUSP1	-1.73963	5.09E-112	0.557	0.948	1.64E-107
SLPI	-0.74242	2.49E-14	0.364	0.565	8.05E-10
IL6	-4.20735	2.05E-30	0.006	0.097	6.61E-26
HSPA1A	-0.89982	7.76E-16	0.138	0.304	2.51E-11
GPNMB	4.840886	1.41E-06	0.057	0.006	0.045636
TNFAIP6	-1.73622	4.34E-11	0.036	0.111	1.40E-06
CLEC6A	1.03126	9.24E-08	0.301	0.198	0.002984
OSM	-0.90967	2.72E-14	0.282	0.468	8.79E-10
IER3	-0.78884	2.87E-15	0.49	0.712	9.27E-11
NFKBIA	-0.5193	6.53E-12	0.501	0.694	2.11E-07
SLC7A11	-0.79089	9.10E-11	0.221	0.377	2.94E-06
TMEM176B	-1.0706	1.52E-13	0.181	0.335	4.91E-09
EGR1	-2.21877	1.80E-51	0.093	0.363	5.81E-47
JUNB	-1.28553	5.95E-100	0.73	0.98	1.92E-95
IL5	-1.32732	7.95E-36	0.289	0.587	2.57E-31
SOCS3	-2.73368	2.62E-118	0.128	0.605	8.45E-114
ID3	-1.15984	5.42E-15	0.124	0.272	1.75E-10
LCN2	-2.18276	2.46E-57	0.073	0.351	7.93E-53
IER2	-1.57343	1.52E-70	0.352	0.78	4.92E-66
ZFP36	-1.45643	1.16E-61	0.351	0.734	3.74E-57
HBEGF	-2.54682	1.34E-10	0.007	0.046	4.33E-06
ATF3	-0.88017	3.83E-25	0.247	0.512	1.24E-20
CTSD	1.329116	1.52E-27	0.678	0.617	4.89E-23
NFKBIZ	-1.13805	6.83E-23	0.152	0.363	2.21E-18
DNAJC14	-1.46146	6.59E-11	0.028	0.097	2.13E-06
IL1R2	-2.17004	1.27E-47	0.051	0.27	4.11E-43
PRKCG	-3.67308	1.83E-21	0.005	0.071	5.92E-17
F13A1	-1.01393	6.01E-43	0.469	0.821	1.94E-38
KLF4	-0.98409	6.43E-15	0.203	0.377	2.08E-10
BTG2	-1.02289	1.20E-55	0.538	0.887	3.86E-51
DMKN	1.589015	1.17E-22	0.413	0.196	3.79E-18
FMNL2	2.543817	4.04E-11	0.131	0.028	1.31E-06
BASP1	1.942304	2.86E-14	0.209	0.065	9.22E-10
CSTB	1.614593	5.80E-57	0.77	0.573	1.87E-52
PID1	0.695841	5.29E-14	0.661	0.573	1.71E-09
CD63	1.972624	7.19E-09	0.155	0.06	0.000232
ID2	-0.93411	4.39E-21	0.179	0.397	1.42E-16
VCAN	-0.95483	1.86E-26	0.309	0.595	6.01E-22
FN1	-0.71115	7.62E-21	0.446	0.712	2.46E-16
CTSB	1.141476	2.08E-49	0.875	0.831	6.72E-45
JUND	-1.11042	3.25E-37	0.387	0.714	1.05E-32
PRTN3	-2.24565	2.08E-50	0.052	0.282	6.72E-46
GPCPD1	-1.71073	5.80E-60	0.159	0.522	1.87E-55
NRG1	-0.87441	9.88E-15	0.136	0.296	3.19E-10
TGM2	1.630354	2.51E-21	0.351	0.137	8.12E-17
CFH	-1.04461	5.03E-10	0.078	0.175	1.62E-05
NR4A1	-1.57272	2.17E-51	0.199	0.546	7.02E-47
DHX40	-1.14182	7.61E-11	0.059	0.151	2.46E-06
LMNA	1.762695	9.45E-08	0.168	0.079	0.00305
FNIP2	2.548246	9.23E-21	0.256	0.071	2.98E-16
ERRFI1	-1.20808	1.34E-06	0.063	0.129	0.043174
AIF1	1.354693	6.15E-10	0.283	0.167	1.99E-05
RIPOR2	-2.62463	1.64E-46	0.037	0.232	5.28E-42
TMCC1	-0.98345	1.46E-17	0.125	0.292	4.70E-13
MMP8	-1.57244	6.67E-50	0.166	0.502	2.15E-45
CEBPD	-1.74687	2.15E-48	0.123	0.419	6.93E-44
LGMN	1.49006	2.73E-45	0.688	0.492	8.82E-41
PLCB1	-0.37318	1.31E-13	0.542	0.774	4.22E-09
ARHGEF37	-1.93492	2.60E-27	0.045	0.192	8.41E-23
PDE4B	-0.54531	7.14E-09	0.322	0.486	0.000231
PDE7B	-0.46436	1.44E-06	0.081	0.159	0.046569
ARHGAP15	-1.66601	7.60E-84	0.272	0.744	2.45E-79
HCAR2	-2.29032	8.77E-16	0.008	0.065	2.83E-11
CD80	-0.69385	2.21E-08	0.114	0.222	0.000714
PTAFR	2.046846	4.93E-14	0.244	0.101	1.59E-09
CDK2AP2	-0.5072	6.23E-15	0.434	0.688	2.01E-10
EMP1	2.700727	1.80E-11	0.141	0.034	5.81E-07
CDH23	-1.51153	5.44E-16	0.026	0.111	1.75E-11
CDKN1A	-0.74026	4.24E-21	0.393	0.667	1.37E-16
INTS6L	-1.08526	1.16E-08	0.027	0.085	0.000375
SDC1	4.604859	3.31E-07	0.058	0.004	0.010687
TREML4	-1.31405	4.10E-10	0.034	0.103	1.32E-05
C5AR1	1.28904	1.24E-32	0.629	0.393	3.99E-28
TESK2	-1.92616	6.03E-08	0.008	0.042	0.001947
GADD45G	-1.02347	1.35E-11	0.071	0.173	4.35E-07
TMEM164	-0.41953	1.09E-06	0.141	0.248	0.03526
CC2D2A	-5.46432	6.84E-14	0.001	0.032	2.21E-09
ATRNL1	-1.3197	7.58E-39	0.175	0.474	2.45E-34
CCR2	-0.66322	1.12E-26	0.602	0.871	3.61E-22
CBLB	-1.43365	2.86E-09	0.02	0.073	9.22E-05
ABTB2	-0.58171	9.37E-13	0.138	0.292	3.03E-08
CITED2	-0.80822	1.56E-11	0.12	0.254	5.02E-07
HP	-0.83515	7.85E-53	0.719	0.96	2.54E-48
ZFP36L1	-1.3847	4.77E-25	0.1	0.288	1.54E-20
CKS2	-1.2766	1.31E-13	0.056	0.159	4.22E-09
FLT3	-3.4673	3.18E-30	0.006	0.097	1.03E-25
ZFAND5	-0.68849	8.24E-16	0.325	0.548	2.66E-11
TGFBI	0.576809	1.92E-16	0.839	0.845	6.20E-12
SELL	-1.72627	6.71E-64	0.16	0.544	2.17E-59
LDLRAD3	-2.38487	6.75E-38	0.031	0.194	2.18E-33
ARG2	-0.8397	4.55E-13	0.109	0.246	1.47E-08
F5	-1.84758	2.37E-32	0.051	0.224	7.65E-28
IRF1	-1.65782	5.76E-29	0.058	0.228	1.86E-24
LGALS1	1.066031	1.12E-34	0.766	0.655	3.60E-30
FPR1	-2.82906	1.82E-16	0.007	0.065	5.87E-12
ALCAM	0.657436	3.53E-07	0.434	0.365	0.011394
RGL1	2.47467	3.17E-08	0.117	0.036	0.001024
FRY	-1.85279	2.83E-26	0.041	0.179	9.13E-22
HPGD	-2.40043	4.02E-19	0.02	0.107	1.30E-14
SAMHD1	-0.65688	1.07E-12	0.455	0.704	3.46E-08
UCK2	-0.71642	1.69E-10	0.147	0.282	5.44E-06
GRK5	-0.47133	8.73E-09	0.167	0.304	0.000282
DGAT2	-1.35424	1.09E-07	0.031	0.085	0.003531
CD38	-1.80386	1.42E-11	0.018	0.077	4.58E-07
GADD45A	-1.93865	1.50E-29	0.042	0.194	4.85E-25
IQGAP2	-0.84465	8.58E-13	0.097	0.226	2.77E-08
SNTB1	-3.74173	1.11E-24	0.004	0.075	3.59E-20
IFNGR1	-0.78733	4.97E-21	0.319	0.593	1.60E-16
SLC8A1	-0.33779	1.16E-07	0.32	0.49	0.003743
HMGB2	-1.64846	6.12E-62	0.176	0.554	1.98E-57
SLC39A1	2.115825	1.50E-11	0.197	0.079	4.85E-07
MGST1	-0.98661	1.39E-41	0.416	0.77	4.49E-37
GADD45B	-0.6309	1.01E-07	0.125	0.228	0.003264
FPR2	-2.2458	2.20E-43	0.046	0.248	7.10E-39
LRMDA	-0.63605	2.51E-13	0.269	0.482	8.09E-09
H2AZ1	-0.81141	4.12E-41	0.706	0.913	1.33E-36
FOXN3	-0.53531	1.39E-11	0.221	0.403	4.47E-07
MXI1	1.680919	5.99E-10	0.206	0.095	1.93E-05
CCR1	-0.37997	3.35E-07	0.438	0.621	0.010814
C3AR1	1.641124	2.99E-08	0.173	0.079	0.000964
DGKG	-2.14675	2.47E-43	0.045	0.246	7.96E-39
DENND4A	-0.30923	2.20E-08	0.262	0.444	0.000709
ARHGAP26	-0.76252	3.37E-21	0.301	0.573	1.09E-16
ASS1	3.398633	2.74E-07	0.07	0.01	0.008845
IGF1R	-0.61762	1.18E-07	0.058	0.131	0.003812
FCGR2B	-0.65177	1.54E-12	0.296	0.498	4.96E-08
SBNO2	-1.62157	3.46E-42	0.122	0.401	1.12E-37
CDKN2D	-1.49405	1.77E-34	0.107	0.341	5.70E-30
CERS6	-1.10043	1.01E-34	0.229	0.542	3.26E-30
ANXA1	-0.47821	1.90E-11	0.441	0.653	6.14E-07
OSBPL8	1.245011	1.69E-10	0.31	0.194	5.45E-06
CSF2RB	-0.43151	1.52E-08	0.186	0.333	0.000491
KIF9	-2.40449	3.83E-07	0.003	0.024	0.012363
ARHGAP10	2.490269	6.05E-07	0.092	0.026	0.019526
MCEMP1	-1.01809	3.51E-39	0.309	0.673	1.13E-34
MID1IP1	-1.89527	3.95E-13	0.018	0.083	1.27E-08
IER5	-0.99065	1.12E-30	0.359	0.673	3.61E-26
KIRREL3	-4.03778	4.35E-07	0.001	0.016	0.014054
NCEH1	2.182924	7.67E-12	0.184	0.065	2.47E-07
PLIN2	0.930733	1.20E-20	0.677	0.593	3.89E-16
CD33	-1.42306	6.26E-21	0.051	0.183	2.02E-16
TREM1	-0.57839	5.40E-08	0.107	0.21	0.001745
INTS6	-0.8016	2.72E-07	0.041	0.101	0.008776
PTPN12	-0.58679	7.54E-08	0.08	0.167	0.002433
XBP1	-0.82739	1.08E-20	0.294	0.569	3.49E-16
ZSWIM4	-1.16309	1.96E-07	0.028	0.081	0.006339
RFX3	-1.05013	1.07E-07	0.03	0.085	0.003457
FABP7	-2.34655	1.37E-13	0.009	0.062	4.42E-09
GSR	-0.88197	1.86E-46	0.612	0.919	6.02E-42
TIFA	-1.05892	2.15E-14	0.075	0.198	6.96E-10
ING3	-1.59284	3.96E-09	0.027	0.085	0.000128
SAMSN1	-1.12274	1.89E-27	0.159	0.407	6.09E-23
YPEL3	-1.40415	4.06E-37	0.132	0.397	1.31E-32
GPR141	-1.26422	2.86E-21	0.085	0.248	9.24E-17
FYN	2.610956	2.88E-11	0.143	0.036	9.31E-07
MCMDC2	-7.43125	5.69E-10	0	0.02	1.84E-05
BTG1	-0.291	8.91E-07	0.789	0.909	0.028782
PARP8	-0.71357	1.85E-08	0.068	0.153	0.000598
SNX24	2.14222	1.12E-08	0.131	0.042	0.000361
ADD3	-2.18526	1.10E-40	0.038	0.22	3.56E-36
