Gene_Symbol	logFC	pv	pct.1	pct.2	p_val_adj
CCL24	6.382369	1.71E-18	0.156	0.008	5.52E-14
PPBP	5.732933	5.14E-10	0.086	0.006	1.66E-05
CXCL3	6.562882	3.72E-54	0.406	0.03	1.20E-49
HMOX1	1.79632	3.59E-20	0.541	0.31	1.16E-15
ARG1	7.554288	2.96E-134	0.729	0.03	9.54E-130
CD74	3.232379	1.36E-68	0.651	0.198	4.40E-64
CCL7	3.634843	6.96E-37	0.409	0.105	2.25E-32
SPP1	6.955514	4.61E-90	0.607	0.079	1.49E-85
CXCL2	1.972302	1.47E-72	0.85	0.44	4.74E-68
PF4	7.616401	2.19E-47	0.347	0.012	7.06E-43
CCL2	2.332615	2.90E-61	0.7	0.292	9.35E-57
MMP12	9.301658	5.85E-11	0.082	0	1.89E-06
IL37	3.938807	7.61E-17	0.156	0.014	2.46E-12
S100A8	-1.21039	1.42E-11	0.258	0.407	4.57E-07
INHBA	5.171067	3.59E-25	0.217	0.016	1.16E-20
IL1B	0.373559	2.74E-08	0.88	0.78	0.000883
MT2A	3.074487	1.01E-21	0.293	0.083	3.27E-17
GSN	1.00112	4.89E-24	0.663	0.425	1.58E-19
HILPDA	4.533364	8.29E-112	0.707	0.103	2.68E-107
PLAC8	-1.62548	2.43E-107	0.561	0.966	7.84E-103
LRG1	-2.30516	4.27E-52	0.144	0.47	1.38E-47
OSM	0.739993	1.91E-09	0.618	0.468	6.17E-05
KLF2	-1.36151	2.99E-33	0.455	0.681	9.66E-29
SELENOP	-1.53203	6.55E-42	0.215	0.52	2.12E-37
MMP19	1.675862	2.00E-20	0.505	0.292	6.45E-16
IL1A	3.377988	9.99E-09	0.084	0.01	0.000323
LPL	2.832408	1.85E-07	0.106	0.03	0.005982
TNFRSF9	5.587006	1.21E-06	0.05	0.002	0.039179
RGS1	4.400347	5.93E-25	0.226	0.022	1.91E-20
SRGN	1.441066	1.19E-109	0.996	0.968	3.85E-105
CLEC6A	2.421944	1.18E-69	0.663	0.198	3.80E-65
PDPN	4.477135	2.78E-30	0.265	0.024	8.96E-26
FN1	0.862563	9.65E-17	0.778	0.712	3.11E-12
IER3	0.797704	1.20E-21	0.84	0.712	3.88E-17
PI16	-1.98038	2.88E-22	0.07	0.23	9.31E-18
CTSL	1.612101	4.41E-44	0.763	0.514	1.42E-39
ID3	-0.82747	5.44E-11	0.143	0.272	1.76E-06
C1QA	4.965662	4.63E-17	0.153	0.012	1.49E-12
RGCC	2.099931	7.40E-45	0.586	0.234	2.39E-40
APOE	-0.55352	2.05E-11	0.805	0.877	6.63E-07
ERO1A	4.214137	8.41E-52	0.433	0.056	2.71E-47
FOS	-0.86931	8.02E-39	0.799	0.94	2.59E-34
CD9	5.249576	3.92E-114	0.685	0.058	1.27E-109
TIMP1	2.436431	2.04E-16	0.238	0.069	6.58E-12
CTSD	1.48781	6.57E-51	0.827	0.617	2.12E-46
MRC1	3.566447	1.02E-17	0.169	0.018	3.29E-13
NFKBIA	0.604371	2.57E-07	0.783	0.694	0.008287
CUX1	2.512514	3.07E-17	0.253	0.075	9.91E-13
C1QC	4.040016	1.96E-16	0.168	0.024	6.32E-12
SERPINE1	3.490558	6.96E-10	0.101	0.014	2.25E-05
THBS1	0.890559	4.30E-21	0.754	0.554	1.39E-16
IL1RN	1.840812	1.78E-18	0.297	0.097	5.76E-14
NRG1	-0.90416	7.34E-11	0.161	0.296	2.37E-06
C1QB	4.233859	2.06E-23	0.229	0.032	6.65E-19
HP	-2.45295	1.95E-168	0.389	0.96	6.28E-164
MT1A	1.610284	2.45E-32	0.767	0.577	7.92E-28
PLCB1	-1.24664	7.04E-50	0.442	0.774	2.27E-45
LGALS3	0.794998	1.19E-22	0.983	0.978	3.84E-18
DUSP1	-0.71372	3.88E-34	0.801	0.948	1.25E-29
LCN2	-2.31112	5.78E-46	0.079	0.351	1.87E-41
CTSB	0.792408	1.20E-16	0.88	0.831	3.86E-12
MIF	3.170246	1.49E-159	0.914	0.28	4.81E-155
PHLDA1	0.966897	1.26E-12	0.403	0.224	4.06E-08
EGR1	-0.86765	8.03E-07	0.267	0.363	0.025939
EGLN3	3.07642	4.83E-26	0.261	0.038	1.56E-21
CD14	1.010507	1.04E-46	0.953	0.841	3.34E-42
ACTB	0.90412	5.51E-34	0.986	0.994	1.78E-29
TMSB10	-0.48279	6.78E-22	0.87	0.946	2.19E-17
CXCL14	7.156684	8.75E-07	0.047	0	0.028252
CD36	2.984639	5.81E-10	0.122	0.026	1.88E-05
CD63	3.057667	1.25E-27	0.301	0.06	4.05E-23
VCAN	-0.91389	2.53E-17	0.425	0.595	8.15E-13
PRDX6	1.427131	2.16E-37	0.749	0.518	6.96E-33
PDE4D	2.767536	2.67E-21	0.257	0.056	8.64E-17
CACNA1D	1.260558	4.35E-12	0.237	0.089	1.41E-07
ACTA2	-1.78325	6.37E-07	0.018	0.065	0.020563
PGK1	2.460847	6.16E-132	0.917	0.478	1.99E-127
CCND2	3.089379	9.50E-09	0.088	0.012	0.000307
FGF13	5.355426	2.16E-11	0.09	0.002	6.98E-07
