Gene_Symbol	logFC	pv	pct.1	pct.2	p_val_adj
HP	-2.45295	1.95E-168	0.389	0.96	6.28E-164
MIF	3.170246	1.49E-159	0.914	0.28	4.81E-155
GAPDH	1.961168	3.14E-154	0.986	0.825	1.02E-149
PKM	1.723114	1.09E-147	0.99	0.881	3.50E-143
SMPDL3A	-2.68969	4.32E-146	0.259	0.847	1.39E-141
ALDOA	1.947327	4.07E-139	0.966	0.671	1.31E-134
TPI1	2.702132	2.69E-138	0.9	0.327	8.68E-134
ARG1	7.554288	2.96E-134	0.729	0.03	9.54E-130
ARHGAP15	-2.96102	5.17E-134	0.186	0.744	1.67E-129
LDHA	1.957505	1.13E-133	0.961	0.655	3.65E-129
PGK1	2.460847	6.16E-132	0.917	0.478	1.99E-127
MGST1	-2.61741	1.06E-125	0.213	0.77	3.41E-121
RPS9	-0.9243	7.52E-125	0.986	0.998	2.43E-120
IFITM3	-1.20403	1.39E-119	0.859	0.996	4.50E-115
SELL	-3.47788	1.06E-114	0.066	0.544	3.42E-110
CD9	5.249576	3.92E-114	0.685	0.058	1.27E-109
CSTB	2.010182	1.03E-113	0.928	0.573	3.33E-109
HILPDA	4.533364	8.29E-112	0.707	0.103	2.68E-107
SRGN	1.441066	1.19E-109	0.996	0.968	3.85E-105
ITM2B	-1.28824	1.99E-109	0.8	0.98	6.42E-105
PLAC8	-1.62548	2.43E-107	0.561	0.966	7.84E-103
BASP1	3.757652	7.32E-107	0.689	0.065	2.36E-102
ENO1	1.811837	3.47E-105	0.917	0.577	1.12E-100
PGAM1	1.840624	8.60E-100	0.889	0.452	2.78E-95
MSRB1	-1.58056	1.30E-98	0.604	0.913	4.18E-94
FTH1	1.664248	2.79E-98	0.998	1	9.00E-94
NAPSA	-1.83018	2.63E-97	0.398	0.839	8.48E-93
H2AZ1	-1.59863	7.32E-96	0.677	0.913	2.36E-91
SPP1	6.955514	4.61E-90	0.607	0.079	1.49E-85
LGALS1	1.887154	1.02E-88	0.899	0.655	3.28E-84
IFITM2	-1.09785	1.08E-83	0.816	0.99	3.50E-79
GSR	-1.39397	1.52E-82	0.564	0.919	4.92E-78
RPS27A	-0.72657	3.37E-82	0.973	0.998	1.09E-77
RPL18A	-0.78301	9.09E-82	0.963	0.994	2.94E-77
TYROBP	-0.69191	6.15E-80	0.977	0.998	1.99E-75
CYBB	-2.00855	1.24E-79	0.262	0.702	4.02E-75
COX7A2L	-1.82518	2.37E-79	0.372	0.756	7.66E-75
CD52	-0.90563	8.52E-76	0.842	0.99	2.75E-71
GPCPD1	-2.72507	6.13E-75	0.131	0.522	1.98E-70
SLC16A3	2.054541	3.77E-74	0.729	0.238	1.22E-69
LSP1	-1.53921	1.49E-73	0.476	0.847	4.80E-69
DAB2	3.161254	4.91E-73	0.58	0.091	1.59E-68
CXCL2	1.972302	1.47E-72	0.85	0.44	4.74E-68
ALOX5AP	-1.04634	3.38E-72	0.813	0.95	1.09E-67
ECM1	3.029778	5.59E-72	0.591	0.121	1.81E-67
H3-3B	-0.79095	1.13E-70	0.934	0.992	3.66E-66
CLEC6A	2.421944	1.18E-69	0.663	0.198	3.80E-65
CORO1A	-0.99652	2.97E-69	0.786	0.964	9.59E-65
PLD4	-1.78852	3.55E-69	0.289	0.69	1.15E-64
CD74	3.232379	1.36E-68	0.651	0.198	4.40E-64
FCGR2B	1.490124	2.58E-67	0.843	0.498	8.32E-63
SDC4	3.9997	3.97E-66	0.482	0.034	1.28E-61
FOXP1	-1.74392	9.52E-66	0.291	0.681	3.08E-61
FAM162A	3.422288	1.19E-65	0.54	0.093	3.83E-61
CST3	-0.84969	2.60E-65	0.869	0.982	8.40E-61
BNIP3	3.640412	2.33E-64	0.515	0.073	7.51E-60
MCEMP1	-1.71706	1.37E-63	0.279	0.673	4.41E-59
EIF3F	-1.24914	5.39E-63	0.62	0.867	1.74E-58
TALDO1	-1.28853	1.32E-62	0.57	0.845	4.25E-58
RPL10	-0.63576	2.23E-62	0.981	0.992	7.19E-58
CCL2	2.332615	2.90E-61	0.7	0.292	9.35E-57
GMFG	-1.55447	6.35E-61	0.379	0.732	2.05E-56
MMP8	-2.1256	9.31E-61	0.138	0.502	3.00E-56
ANXA2	1.14498	7.93E-60	0.957	0.873	2.56E-55
SAMHD1	-1.76731	9.75E-60	0.345	0.704	3.15E-55
TGM2	2.387937	6.41E-59	0.586	0.137	2.07E-54
ARHGAP26	-2.0607	4.44E-58	0.215	0.573	1.43E-53
C5AR1	1.51395	2.31E-57	0.791	0.393	7.47E-53
CAPG	1.21009	5.92E-57	0.877	0.647	1.91E-52
LMNA	3.489319	1.92E-56	0.484	0.079	6.19E-52
S100A10	1.150778	3.17E-55	0.917	0.798	1.02E-50
CALM1	0.829971	7.53E-55	0.968	0.895	2.43E-50
CXCL3	6.562882	3.72E-54	0.406	0.03	1.20E-49
RPS14	-0.5204	1.57E-53	0.986	1	5.07E-49
PFN1	0.6883	1.68E-53	0.978	0.974	5.42E-49
RPL13	-0.53738	1.86E-53	0.988	0.996	5.99E-49
BSG	1.631811	1.98E-53	0.738	0.367	6.40E-49
LRG1	-2.30516	4.27E-52	0.144	0.47	1.38E-47
CCR2	-1.12257	6.56E-52	0.585	0.871	2.12E-47
EMB	-1.07407	6.89E-52	0.604	0.861	2.22E-47
ERO1A	4.214137	8.41E-52	0.433	0.056	2.71E-47
PTPN18	-1.74334	1.51E-51	0.273	0.601	4.88E-47
RPS4X	-0.63052	2.38E-51	0.937	0.986	7.70E-47
CTSD	1.48781	6.57E-51	0.827	0.617	2.12E-46
PLCB1	-1.24664	7.04E-50	0.442	0.774	2.27E-45
CD302	-2.38388	9.09E-49	0.116	0.407	2.94E-44
H3-3B	0.790796	1.32E-47	0.992	0.982	4.28E-43
AP1S2	-1.83253	1.92E-47	0.164	0.48	6.19E-43
PF4	7.616401	2.19E-47	0.347	0.012	7.06E-43
PRTN3	-2.97685	3.30E-47	0.045	0.282	1.07E-42
JUNB	-0.76392	3.74E-47	0.888	0.98	1.21E-42
HMGB2	-1.78169	5.30E-47	0.241	0.554	1.71E-42
CD14	1.010507	1.04E-46	0.953	0.841	3.34E-42
ARHGDIB	-0.95728	1.60E-46	0.675	0.897	5.17E-42
PLIN2	1.347445	4.24E-46	0.841	0.593	1.37E-41
LCN2	-2.31112	5.78E-46	0.079	0.351	1.87E-41
ARHGEF37	-4.9606	1.25E-45	0.011	0.192	4.05E-41
CLEC12A	-1.99951	2.90E-45	0.164	0.464	9.37E-41
RGCC	2.099931	7.40E-45	0.586	0.234	2.39E-40
