Gene_Symbol	logFC	pv
2610037D02RIK	-0.520883188	0.001
A530064D06RIK	-0.673639081	0.001
ATF4	-0.654197764	0.001
ATP9B	-0.967502777	0.001
BNIP3	1.694686359	0.001
BNIP3L	1.114105482	0.001
BST1	-0.375797597	0.001
CCDC47	-0.599449044	0.001
CCND2	2.35673022	0.001
CCR1	-1.315288427	0.001
CST3	-0.666646861	0.001
CTSS	-0.409239335	0.001
CXCL3	3.74580109	0.001
DNAJB9	-1.708627761	0.001
DOK2	0.71690162	0.001
EGLN3	2.123917667	0.001
EIF4EBP1	0.822567584	0.001
EMILIN2	-1.134958022	0.001
ERO1L	2.155854857	0.001
ESYT2	-1.288275645	0.001
F10	-1.846860835	0.001
F5	-2.200483948	0.001
FAM102B	-1.354045686	0.001
FAM162A	1.570097863	0.001
FBXL5	1.052679156	0.001
FBXO28	-1.252912128	0.001
FCER1G	-0.424923961	0.001
FNDC3A	-1.177019752	0.001
GADD45A	-1.698723803	0.001
GBE1	1.492834227	0.001
GM11290	1.854152636	0.001
GM15283	-1.169893348	0.001
GM47507	-1.66152451	0.001
GPAT3	-2.094825176	0.001
GPR141	-2.456308271	0.001
GRINA	-1.608047697	0.001
HERPUD1	-1.012993668	0.001
HIGD1A	0.931689913	0.001
HK1	-1.269667496	0.001
IL13RA1	-1.2071396	0.001
IMPA2	2.525066549	0.001
INHBA	-2.899750597	0.001
KLF7	1.127430596	0.001
LPAR1	-1.545408878	0.001
LRRC4	-1.553767459	0.001
LYAR	1.203769145	0.001
LYZ2	-1.819771017	0.001
MAML2	-2.359444426	0.001
MANF	-0.462238164	0.001
MAP2K1	-0.830661501	0.001
ME2	0.835825684	0.001
MT2	2.546478515	0.001
MTHFD1L	0.842846421	0.001
NDRG1	2.091092248	0.001
NEDD9	-1.466062725	0.001
NUCB2	-1.004788165	0.001
P4HA1	-0.612781699	0.001
P4HB	-0.655348024	0.001
PCGF5	-1.537980671	0.001
PDIA4	0.509675215	0.001
PFKP	-1.789115099	0.001
PGM1	2.189250567	0.001
PILRA	0.628310836	0.001
PIWIL2	-1.14497906	0.001
PRDX6	-0.872396402	0.001
RBPMS	1.402901358	0.001
RESF1	-1.020571621	0.001
RFX3	-0.707790662	0.001
RGCC	-1.988259583	0.001
RNF11	-1.097609678	0.001
RSBN1	-1.079605769	0.001
SC5D	-0.773765143	0.001
SEC23B	-1.149172144	0.001
SEC61A1	-0.851242851	0.001
SELENBP1	-1.765588288	0.001
SERPINB2	-2.112249634	0.001
SERPINE1	2.470447467	0.001
SGMS2	-2.271066161	0.001
SLBP	-0.493941971	0.001
SLC16A3	-1.037535619	0.001
SLC23A2	-0.627404093	0.001
SLC2A1	-1.576135496	0.001
SLC35B1	-0.597356028	0.001
SLFN4	-0.796130555	0.001
SLPI	-1.564888964	0.001
SMOX	-2.212133226	0.001
SNX18	-0.514645837	0.001
SPIDR	-0.682216095	0.001
SSR3	-0.599266627	0.001
TDRD7	1.211657566	0.001
TES	-2.867697831	0.001
TLR4	-0.804450674	0.001
TMEM248	-0.938809003	0.001
TREM1	-2.603399652	0.001
TUBA1A	-0.392855229	0.001
TYROBP	-0.617119109	0.001
UPP1	-1.981968505	0.001
USO1	-0.528189422	0.001
ZFP292	-0.411974161	0.001
