Gene_Symbol	logFC	p_val_adj	pv
SPINT2	-0.43647914	0.005	1.69E-203
ITM2B	-0.214865779	0.005	8.33E-181
ATP1B1	-0.274971551	0.005	2.35E-178
TMBIM6	-0.036248618	0.005	8.55E-157
CDHR5	-0.594205881	0.005	2.49E-146
IFITM2	0.779697163	0.005	1.13E-141
SLC6A14	-0.444308789	0.005	2.44E-131
NUDT4	-0.479699515	0.005	9.68E-131
RFK	-0.635890157	0.005	9.27E-130
IGFBP7	1.05751696	0.005	2.10E-124
TMEM59	-0.256019006	0.005	1.99E-116
DCN	0.847632352	0.005	4.73E-116
ACO2	-0.006376167	0.005	1.56E-114
SPARC	0.619917973	0.005	2.25E-110
TMEM176B	0.736286093	0.005	1.58E-109
TST	-0.700986357	0.005	2.36E-107
PTP4A2	-0.045228101	0.005	8.48E-96
GPX3	0.668379213	0.005	1.85E-94
MAX	-0.527577913	0.005	5.41E-94
IGFBP5	0.526688199	0.005	1.76E-93
FBP2	-0.29188624	0.005	4.72E-89
LGALS1	0.428239458	0.005	6.90E-84
NAGA	-0.201498493	0.005	4.34E-81
SERPINH1	0.339454966	0.005	5.19E-81
ERBB3	-0.588568238	0.005	1.57E-80
CTDSP2	-0.150233227	0.005	2.26E-79
MKRN1	-0.604724612	0.005	8.30E-76
PRR15L	-0.667332401	0.005	9.06E-76
CYP27B1	-0.686491966	0.005	1.45E-75
OCIAD2	-0.166760943	0.005	2.15E-72
TPM4	0.493248447	0.005	5.97E-71
THBS1	0.324533654	0.005	1.05E-69
PYY	-0.763302458	0.005	1.31E-69
FAM234A	-0.488717165	0.005	2.35E-69
PNPLA2	-0.278669809	0.005	2.66E-69
IGFBP4	0.595773076	0.005	2.29E-68
ANXA5	0.465586112	0.005	2.77E-68
RNF128	-0.030432053	0.005	1.91E-67
ARFGAP3	-0.254886492	0.005	1.07E-66
AK3	-0.075585624	0.005	9.50E-65
UAP1	-0.075193567	0.005	9.13E-64
ATP6AP2	-0.021960972	0.005	8.34E-63
SLC16A1	-0.514984274	0.005	9.02E-63
CEBPB	0.330578119	0.005	1.50E-62
IER3	-0.533030877	0.005	3.08E-62
VIPR1	-0.268082053	0.005	9.06E-62
ALDOB	-0.925812654	0.005	2.60E-59
CLPTM1	-0.041799593	0.005	3.40E-59
SLC44A1	-0.175823998	0.005	4.57E-57
CITED2	-0.331783042	0.005	9.57E-57
GRAMD2B	-0.482577119	0.005	2.37E-56
IFITM1	0.90343544	0.005	9.24E-56
CXCL2	-2.401056579	0.005	3.04E-54
PCBP2	0.047140976	0.005	3.38E-54
DUSP1	-0.439543528	0.005	6.80E-53
PLVAP	1.018485531	0.005	6.87E-53
MMP14	0.503899466	0.005	7.65E-53
TMEM176A	0.765174297	0.005	1.58E-52
TMEM236	-0.506312978	0.005	1.59E-52
IPMK	-0.587786963	0.005	7.11E-52
CPT2	-0.276686457	0.005	1.67E-51
HADHA	-0.237700603	0.005	4.70E-51
MMP2	1.17627001	0.005	1.61E-49
CCL2	0.367029819	0.005	2.04E-49
IRF2	-0.242659853	0.005	2.36E-49
EI24	-0.12158706	0.005	2.70E-49
PTDSS1	-0.096929673	0.005	4.06E-49
ECM1	0.471677024	0.005	8.00E-49
ANXA11	-0.100419761	0.005	1.31E-48
GRB7	-0.949065156	0.005	2.58E-48
SLC31A1	-0.184574972	0.005	2.91E-48
RMND5A	-0.493681887	0.005	4.42E-48
GPBP1L1	-0.382300817	0.005	6.09E-47
IL1B	-0.461579194	0.005	4.35E-46
FHL2	0.236872641	0.005	1.14E-45
GDPD1	-0.134424735	0.005	1.45E-45
RCN3	0.438914778	0.005	1.42E-44
TMEM119	0.855389319	0.005	1.79E-44
TRIM16	-0.448056997	0.005	6.09E-44
CPQ	0.001101943	0.005	8.91E-44
DNMBP	-0.480599324	0.005	1.34E-43
AKAP1	0.104268734	0.005	1.76E-43
CSF3	-2.275142803	0.005	2.11E-43
CCL7	0.866030957	0.005	2.92E-43
GLB1	-0.05221443	0.005	4.06E-43
COL18A1	0.694734972	0.005	4.76E-43
EREG	0.014494853	0.005	5.95E-43
TCF21	0.492453141	0.005	9.50E-43
TNFRSF12A	0.083431578	0.005	3.30E-42
