Gene_Symbol	logFC	p_val_adj	pv
ATP6AP2	-0.021960972	0.005	0.005
APOOL	-0.11826866	0.005	0.005
TMEM115	0.002567336	0.005	0.005
IBA57	0.000618923	0.005	0.005
NUDT4	-0.479699515	0.005	0.005
TRIM16	-0.448056997	0.005	0.005
ARFGAP3	-0.254886492	0.005	0.005
RNF103	-0.482872223	0.005	0.005
IRF2	-0.242659853	0.005	0.005
SLC37A4	-0.307109882	0.005	0.005
PIGH	-0.408411128	0.005	0.005
RFK	-0.635890157	0.005	0.005
STRBP	-0.576810959	0.005	0.005
ATP1B1	-0.274971551	0.005	0.005
ERBB3	-0.588568238	0.005	0.005
TPK1	-0.26755515	0.005	0.005
UAP1	-0.075193567	0.005	0.005
FUCA2	-0.407176748	0.005	0.005
DACT2	-0.688027324	0.005	0.005
FBP2	-0.29188624	0.005	0.005
MARVELD2	-0.142114452	0.005	0.005
TMEM184A	-0.545734374	0.005	0.005
SH3YL1	-0.431502811	0.005	0.005
MAX	-0.527577913	0.005	0.005
VIPR1	-0.268082053	0.005	0.005
NKIRAS2	-0.21524779	0.005	0.005
SNX14	-0.249829191	0.005	0.005
MTUS1	-0.153516798	0.005	0.005
AK3	-0.075585624	0.005	0.005
SLC31A1	-0.184574972	0.005	0.005
TMEM117	-0.158403064	0.005	0.005
SEMA3C	-0.27116005	0.005	0.005
HADHA	-0.237700603	0.005	0.005
ETFDH	-0.246817575	0.005	0.005
REEP6	-0.656539426	0.005	0.005
GDPD1	-0.134424735	0.005	0.005
BAG4	-0.292561101	0.005	0.005
PYY	-0.763302458	0.005	0.005
RETREG1	-0.676414699	0.005	0.005
ASCC1	-0.186843312	0.005	0.005
CLYBL	-0.31727036	0.005	0.005
TMEM59	-0.256019006	0.005	0.005
PPFIBP2	-0.362826436	0.005	0.005
ZNF3	-0.458739714	0.005	0.005
HARBI1	-0.653386827	0.005	0.005
FASTKD1	-0.332915898	0.005	0.005
ZBTB32	-1.076823773	0.005	0.005
