Gene_Symbol	logFC	p_val_adj	pv
CTNS	-0.430467108	0.005	0.005
CTDSP2	-0.150233227	0.005	0.005
CNNM3	-0.144099485	0.005	0.005
CYB5R1	0.303398268	0.005	0.005
TOP3A	-0.102674392	0.005	0.005
PF4	0.361577873	0.005	0.005
DDAH2	0.022101631	0.005	0.005
ARHGEF15	0.403487769	0.005	0.005
PEAR1	0.410658562	0.005	0.005
OBSL1	-0.016149193	0.005	0.005
ARF4	0.321403266	0.005	0.005
IER5L	0.502021133	0.005	0.005
ANXA5	0.465586112	0.005	0.005
SOD3	0.684696171	0.005	0.005
PDPN	0.698957196	0.005	0.005
TMEM176B	0.736286093	0.005	0.005
GPX3	0.668379213	0.005	0.005
SPON2	-0.072323955	0.005	0.005
TCF21	0.492453141	0.005	0.005
LGALS1	0.428239458	0.005	0.005
PLAU	0.341074694	0.005	0.005
TM4SF1	0.493402223	0.005	0.005
SLC12A4	0.431537703	0.005	0.005
ROBO4	0.444429427	0.005	0.005
MEOX1	0.51495826	0.005	0.005
BMP4	0.619040919	0.005	0.005
ACKR3	1.041180622	0.005	0.005
TMEM119	0.855389319	0.005	0.005
BMP7	0.799136812	0.005	0.005
PROCR	0.750286151	0.005	0.005
PLVAP	1.018485531	0.005	0.005
SRPX2	0.968953711	0.005	0.005
PDGFRB	0.531963596	0.005	0.005
FMNL3	0.32472228	0.005	0.005
EDNRA	0.944052589	0.005	0.005
SLC43A3	0.829051755	0.005	0.005
EHD3	0.879704104	0.005	0.005
BTBD19	-0.005306446	0.005	0.005
TPM4	0.493248447	0.005	0.005
ADAM8	0.186510843	0.005	0.005
CSRNP1	0.651180284	0.005	0.005
CFAP43	0.763194315	0.005	0.005
CCL3	-1.851971423	0.005	0.005
HCAR2	-0.200130064	0.005	0.005
IL1RL2	0.311194328	0.005	0.005
MMP14	0.503899466	0.005	0.005
LOXL2	0.508523153	0.005	0.005
EVA1B	0.304351707	0.005	0.005
COL18A1	0.694734972	0.005	0.005
TSPAN4	0.965428875	0.005	0.005
NRG1	0.300828191	0.005	0.005
ACSL4	0.494982337	0.005	0.005
JDP2	0.410233058	0.005	0.005
MMP19	0.735746719	0.005	0.005
HOMER3	0.104114198	0.005	0.005
SNAI1	0.461984227	0.005	0.005
NES	0.485104251	0.005	0.005
SHANK3	0.486184398	0.005	0.005
ERG	0.779575755	0.005	0.005
LRRK2	0.030719381	0.005	0.005
PDE4B	0.369099122	0.005	0.005
DMXL2	-0.380930349	0.005	0.005
SMOC1	0.162029605	0.005	0.005
FHL3	0.399935537	0.005	0.005
MAP3K8	0.069942793	0.005	0.005
CYP7B1	0.474154004	0.005	0.005
PDE7B	0.265039007	0.005	0.005
SNAI2	0.633455717	0.005	0.005
OSM	-1.69616748	0.005	0.005
CXCL2	-2.401056579	0.005	0.005
TREM1	-0.780113385	0.005	0.005
CSF3	-2.275142803	0.005	0.005
DIO2	-1.931666027	0.005	0.005
RND1	-0.722540178	0.005	0.005
DUSP1	-0.439543528	0.005	0.005
SPHK1	-0.226732177	0.005	0.005
EREG	0.014494853	0.005	0.005
CXCL1	-0.387198734	0.005	0.005
IL11	-1.282260955	0.005	0.005
CEMIP	-1.181601021	0.005	0.005
IER3	-0.533030877	0.005	0.005
TRPA1	0.054163024	0.005	0.005
BDKRB1	0.846127846	0.005	0.005
SPP1	-3.460746857	0.005	0.005
MAP1S	0.026412965	0.005	0.005
CEBPB	0.330578119	0.005	0.005
G0S2	-0.663302013	0.005	0.005
ARTN	-0.017488902	0.005	0.005
BNIP2	-0.099385338	0.005	0.005
USP35	-0.467340258	0.005	0.005
MSANTD3	-0.022565597	0.005	0.005
FAM92A	-0.076986966	0.005	0.005
PTGES	-0.099613591	0.005	0.005
ABCC1	-0.067057544	0.005	0.005
PTGS2	-0.95807578	0.005	0.005
IL1RL1	-0.489996757	0.005	0.005
STC1	0.093293104	0.005	0.005
FGF7	-0.042400087	0.005	0.005
PRR16	-0.037356862	0.005	0.005
NTNG2	0.02801284	0.005	0.005
CCP110	-0.076157747	0.005	0.005
B9D1	-0.033369656	0.005	0.005
