Gene_Symbol	logFC	pv	GENEID
Ero1l	-1.965148496	8.16E-17	Ero1l
BNIP3	-1.306926695	6.79E-15	Bnip3
EGLN3	-2.024250731	2.50E-14	Egln3
IMPA2	-2.230018159	6.45E-13	Impa2
HIGD1A	-0.757572736	9.88E-10	Higd1a
FBXL5	0.353972091	2.11E-08	Fbxl5
NDRG1	-1.452842756	3.04E-07	Ndrg1
FAM162A	-0.741662201	1.51E-06	Fam162a
PDIA4	0.111072422	1.74E-06	Pdia4
LYAR	0.332377603	4.34E-06	Lyar
DOK2	0.224647196	3.55E-05	Dok2
BNIP3L	-0.930147279	8.15E-05	Bnip3l
PGM1	-1.238113494	0.000324433	Pgm1
Gm47507	-1.66152451	0.00054415	Gm47507
P4HA1	-0.612781699	0.005445816	P4ha1
Mt2	-0.205295246	0.005515758	Mt2
EIF4EBP1	-0.433899315	0.007234013	Eif4ebp1
SELENBP1	-1.765588288	0.008349702	Selenbp1
Gm11290	-1.38465834	0.009894935	Gm11290
MTHFD1L	-0.838324179	0.037244744	Mthfd1l
Cxcl3	-0.125700197	0.041143352	Cxcl3
Pilra	-0.328958344	0.057034124	Pilra
GBE1	-0.709807609	0.156135455	Gbe1
CCDC47	-0.599449044	0.232875747	Ccdc47
TDRD7	-1.001145519	0.303349252	Tdrd7
RBPMS	-0.036106537	0.307498665	Rbpms
ME2	-0.537465305	0.353940256	Me2
KLF7	-0.204116635	0.355638511	Klf7
CCND2	-0.688600901	0.44824222	Ccnd2
SERPINE1	-0.289889826	0.803233197	Serpine1
