Gene_Symbol	logFC	pv
TP53	1	0.005
BRCA1	0.97979797979798	0.005
BRCA2	0.95959595959596	0.005
EGFR	0.939393939393939	0.005
VEGFA	0.919191919191919	0.005
MYC	0.898989898989899	0.005
CDKN2A	0.878787878787879	0.005
RB1	0.858585858585859	0.005
PTEN	0.838383838383838	0.005
BRAF	0.818181818181818	0.005
KRAS	0.797979797979798	0.005
NRAS	0.777777777777778	0.005
HRAS	0.757575757575758	0.005
PIK3CA	0.737373737373737	0.005
AKT1	0.717171717171717	0.005
AKT2	0.696969696969697	0.005
MTOR	0.676767676767677	0.005
TSC1	0.656565656565657	0.005
TSC2	0.636363636363636	0.005
APC	0.616161616161616	0.005
CTNNB1	0.595959595959596	0.005
SMAD4	0.575757575757576	0.005
FBXW7	0.555555555555556	0.005
GNAS	0.535353535353535	0.005
STK11	0.515151515151515	0.005
VHL	0.494949494949495	0.005
MEN1	0.474747474747475	0.005
NF1	0.454545454545455	0.005
NF2	0.434343434343434	0.005
RET	0.414141414141414	0.005
CDH1	0.393939393939394	0.005
CDK4	0.373737373737374	0.005
CDK6	0.353535353535353	0.005
CCND1	0.333333333333333	0.005
CCNE1	0.313131313131313	0.005
CDK2	0.292929292929293	0.005
CDK1	0.272727272727273	0.005
ERBB2	0.252525252525252	0.005
ERBB3	0.232323232323232	0.005
ERBB4	0.212121212121212	0.005
KIT	0.191919191919192	0.005
PDGFRA	0.171717171717172	0.005
PDGFRB	0.151515151515151	0.005
FLT3	0.131313131313131	0.005
JAK2	0.111111111111111	0.005
MPL	0.0909090909090909	0.005
ABL1	0.0707070707070707	0.005
SRC	0.0505050505050505	0.005
LCK	0.0303030303030303	0.005
LYN	0.0101010101010101	0.005
CHIL3	-0.01010101	0.005
YES1	-0.03030303	0.005
FYN	-0.050505051	0.005
FGR	-0.070707071	0.005
HCK	-0.090909091	0.005
BTK	-0.111111111	0.005
TEC	-0.131313131	0.005
BMX	-0.151515152	0.005
ITK	-0.171717172	0.005
TXK	-0.191919192	0.005
JAK1	-0.212121212	0.005
JAK3	-0.232323232	0.005
MCOLN2	-0.252525253	0.005
STAT3	-0.272727273	0.005
STAT5A	-0.292929293	0.005
STAT5B	-0.313131313	0.005
IL2RA	-0.333333333	0.005
IL2RB	-0.353535354	0.005
IL2RG	-0.373737374	0.005
IL3RA	-0.393939394	0.005
IL4R	-0.414141414	0.005
IL5RA	-0.434343434	0.005
IL6R	-0.454545455	0.005
IL7R	-0.474747475	0.005
IL9R	-0.494949495	0.005
IL13RA1	-0.515151515	0.005
IL21R	-0.535353535	0.005
IL23R	-0.555555556	0.005
IL10RA	-0.575757576	0.005
IL10RB	-0.595959596	0.005
IL12RB1	-0.616161616	0.005
IL12RB2	-0.636363636	0.005
CSF2RA	-0.656565657	0.005
CSF2RB	-0.676767677	0.005
IFNAR1	-0.696969697	0.005
IFNAR2	-0.717171717	0.005
IFNGR1	-0.737373737	0.005
IFNGR2	-0.757575758	0.005
BCL2L15	-0.777777778	0.005
ACTB	-0.797979798	0.005
GAPDH	-0.818181818	0.005
TUBB1	-0.838383838	0.005
TUBB2	-0.858585859	0.005
TUBB3	-0.878787879	0.005
TUBB4	-0.898989899	0.005
TUBB6	-0.919191919	0.005
IL17RA	-0.939393939	0.005
MAP3K9	-0.95959596	0.005
MOB3C	-0.97979798	0.005
ZBP1	-1	0.005
