Gene_Symbol	logFC	pv
TP53	1	0.0775921105365843
BRCA1	0.97979797979798	0.0972153745435279
BRCA2	0.95959595959596	0.0702223155826285
EGFR	0.939393939393939	0.0452301327178184
VEGFA	0.919191919191919	0.032947765945153
MYC	0.898989898989899	0.0868388815970633
CDKN2A	0.878787878787879	0.0296900564553209
RB1	0.858585858585859	0.0112210075830099
PTEN	0.838383838383838	0.0575224948957345
BRAF	0.818181818181818	0.0620686173709018
KRAS	0.797979797979798	0.0683258057584421
NRAS	0.777777777777778	0.0507232472359611
HRAS	0.757575757575758	0.01299523712776
PIK3CA	0.737373737373737	0.0550996173674889
AKT1	0.717171717171717	0.0846975420746428
AKT2	0.696969696969697	0.0181840474811317
MTOR	0.676767676767677	0.0589009551998391
TSC1	0.656565656565657	0.0834641631182095
TSC2	0.636363636363636	0.0384665375651704
APC	0.616161616161616	0.0254416423398645
CTNNB1	0.595959595959596	0.0903624478497651
SMAD4	0.575757575757576	0.036750348992237
FBXW7	0.555555555555556	0.0554746498848385
GNAS	0.535353535353535	0.0754167871344983
STK11	0.515151515151515	0.0252154908887196
VHL	0.494949494949495	0.0790529388560955
MEN1	0.474747474747475	0.0129244927366951
NF1	0.454545454545455	0.0317316937194867
NF2	0.434343434343434	0.0605305528907227
RET	0.414141414141414	0.0824591945068448
CDH1	0.393939393939394	0.0633064357576114
CDK4	0.373737373737374	0.055903742421598
CDK6	0.353535353535353	0.0613096777870101
CCND1	0.333333333333333	0.0816896338027803
CCNE1	0.313131313131313	0.0520204060324598
CDK2	0.292929292929293	0.0318018378538049
CDK1	0.272727272727273	0.0677047076517742
ERBB2	0.252525252525252	0.0680597121821364
ERBB3	0.232323232323232	0.0912442995941216
ERBB4	0.212121212121212	0.0397385937606437
KIT	0.191919191919192	0.0713261177205897
PDGFRA	0.171717171717172	0.0973008730425121
PDGFRB	0.151515151515151	0.00715899302925571
FLT3	0.131313131313131	0.0751555316866039
JAK2	0.111111111111111	0.00876613326585449
MPL	0.0909090909090909	0.0221384365015865
ABL1	0.0707070707070707	0.0601095040255853
SRC	0.0505050505050505	0.00365756578353071
LCK	0.0303030303030303	0.00183377561470373
LYN	0.0101010101010101	0.0300920486231703
CHIL3	-0.0101010101010102	0.0989323166154005
YES1	-0.0303030303030303	0.0435461277380561
FYN	-0.0505050505050506	0.0724938235841197
FGR	-0.0707070707070707	0.0495270505217405
HCK	-0.0909090909090908	0.098092293242048
BTK	-0.111111111111111	0.0964287678557419
TEC	-0.131313131313131	0.0172296581753375
BMX	-0.151515151515152	0.0138898051033308
ITK	-0.171717171717172	0.00634347285137231
TXK	-0.191919191919192	0.0474508570349052
JAK1	-0.212121212121212	0.0144373637651572
JAK3	-0.232323232323232	0.0532168948110041
MCOLN2	-0.252525252525253	0.0205634332383948
STAT3	-0.272727272727273	0.00976851595001236
STAT5A	-0.292929292929293	0.0912435695054047
STAT5B	-0.313131313131313	0.0228898328691074
IL2RA	-0.333333333333333	0.0707303081109611
IL2RB	-0.353535353535354	0.037690018492065
IL2RG	0.373737373737374	0.00737311144354216
IL3RA	0.393939393939394	0.0182486694121138
IL4R	0.414141414141414	0.0395470260166587
IL5RA	0.434343434343434	0.0131470626315668
IL6R	0.454545454545455	0.0457379602573116
IL7R	0.474747474747475	0.0476772787910804
IL9R	0.494949494949495	0.0411134106670001
IL13RA1	0.515151515151515	0.0685713796284482
IL21R	0.535353535353535	0.0874517727043017
IL23R	0.555555555555556	0.0102903415236028
IL10RA	0.575757575757576	0.0907604815336907
IL10RB	0.595959595959596	0.0326625681627412
IL12RB1	0.616161616161616	0.00598316817346252
IL12RB2	0.636363636363636	0.0131097400416266
CSF2RA	0.656565656565657	0.0264621511357401
CSF2RB	0.676767676767677	0.0248186997498344
IFNAR1	0.696969696969697	0.0369461863398502
IFNAR2	0.717171717171717	0.0589014278455721
IFNGR1	0.737373737373737	0.000209562433253652
IFNGR2	0.757575757575758	0.0191035519848022
BCL2L15	0.777777777777778	0.0702016291162654
ACTB	0.797979797979798	0.0835004631429612
GAPDH	0.818181818181818	0.0747670774439282
TUBB1	0.838383838383838	0.00354719298159338
TUBB2	0.858585858585859	0.00593391111595771
TUBB3	0.878787878787879	0.0408919767850819
TUBB4	0.898989898989899	0.0120334478516025
TUBB6	0.919191919191919	0.0683864700847756
IL17RA	0.939393939393939	0.010412918939203
MAP3K9	0.95959595959596	0.0475120265662056
MOB3C	0.97979797979798	0.068826501232655
ZBP1	1	0.0246776547840732
